Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time
2015-01-02,Barbell Squat,Legs,0.0,5,,,
2015-01-02,Barbell Squat,Legs,50.0,5,,,
2015-01-02,Barbell Squat,Legs,90.0,5,,,
2015-01-02,Barbell Squat,Legs,110.0,5,,,
2015-01-02,Dumbbell Lunge,Legs,0.0,5,,,
2015-01-02,Dumbbell Lunge,Legs,20.0,5,,,
2015-01-02,Dumbbell Lunge,Legs,30.0,5,,,
2015-01-02,Dumbbell Lunge,Legs,35.0,4,,,
2015-01-02,Rope Push Down,Triceps,30.0,5,,,
2015-01-02,Rope Push Down,Triceps,45.0,5,,,
2015-01-02,Rope Push Down,Triceps,57.5,5,,,
2015-01-02,Rope Push Down,Triceps,65.0,5,,,
2015-01-02,Rope Push Down,Triceps,65.0,4,,,
2015-01-02,EZ-Bar Skullcrusher,Triceps,35.0,5,,,
2015-01-02,EZ-Bar Skullcrusher,Triceps,55.0,5,,,
2015-01-02,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-01-02,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-01-02,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-01-02,Parallel Bar Triceps Dip,Triceps,0.0,5,,,
2015-01-02,Parallel Bar Triceps Dip,Triceps,0.0,7,,,
2015-01-02,Parallel Bar Triceps Dip,Triceps,0.0,7,,,
2015-01-02,Parallel Bar Triceps Dip,Triceps,0.0,7,,,
2015-01-02,Parallel Bar Triceps Dip,Triceps,0.0,7,,,
2015-01-04,Seated Dumbbell Press,Shoulders,17.5,5,,,
2015-01-04,Seated Dumbbell Press,Shoulders,22.5,5,,,
2015-01-04,Seated Dumbbell Press,Shoulders,30.0,5,,,
2015-01-04,Seated Dumbbell Press,Shoulders,35.0,5,,,
2015-01-04,Seated Dumbbell Press,Shoulders,40.0,5,,,
2015-01-04,Seated Dumbbell Press,Shoulders,40.0,8,,,
2015-01-04,Dumbbell Shrug,Shoulders,65.0,8,,,
2015-01-04,Dumbbell Shrug,Shoulders,70.0,8,,,
2015-01-04,Dumbbell Shrug,Shoulders,75.0,8,,,
2015-01-04,Dumbbell Shrug,Shoulders,75.0,8,,,
2015-01-04,Dumbbell Shrug,Shoulders,80.0,8,,,
2015-01-04,Hanging Leg Raise,Abs,0.0,12,,,
2015-01-04,Hanging Leg Raise,Abs,0.0,11,,,
2015-01-04,Hanging Leg Raise,Abs,0.0,9,,,
2015-01-04,Decline Crunch,Abs,0.0,15,,,
2015-01-04,Decline Crunch,Abs,0.0,15,,,
2015-01-04,Decline Crunch,Abs,0.0,10,,,
2015-01-04,Crunch,Abs,0.0,15,,,
2015-01-04,Crunch,Abs,0.0,15,,,
2015-01-04,Crunch,Abs,0.0,15,,,
2015-01-04,Barbell Twist,Abs,0.0,15,,,
2015-01-04,Barbell Twist,Abs,0.0,15,,,
2015-01-04,Barbell Twist,Abs,0.0,15,,,
2015-01-04,Seated Dumbbell Press,Shoulders,45.0,8,,,
2015-01-05,Deadlift,Back,90.0,5,,,
2015-01-05,Deadlift,Back,140.0,5,,,
2015-01-05,Deadlift,Back,170.0,5,,,
2015-01-05,Deadlift,Back,175.0,3,,,
2015-01-05,Deadlift,Back,160.0,5,,,
2015-01-05,Deadlift,Back,140.0,3,,,
2015-01-05,Barbell Row,Back,0.0,5,,,
2015-01-05,Barbell Row,Back,50.0,7,,,
2015-01-05,Barbell Row,Back,70.0,6,,,
2015-01-05,Barbell Row,Back,90.0,6,,,
2015-01-05,Barbell Row,Back,90.0,6,,,
2015-01-05,Barbell Row,Back,50.0,10,,,
2015-01-05,Pull Up,Back,0.0,6,,,
2015-01-05,Pull Up,Back,0.0,6,,,
2015-01-05,Pull Up,Back,0.0,6,,,
2015-01-07,Flat Dumbbell Bench Press,Chest,45.0,5,,,
2015-01-07,Flat Dumbbell Bench Press,Chest,55.0,5,,,
2015-01-07,Flat Dumbbell Bench Press,Chest,60.0,5,,,
2015-01-07,Flat Dumbbell Bench Press,Chest,60.0,6,,,
2015-01-07,Flat Dumbbell Bench Press,Chest,35.0,5,,,
2015-01-07,Flat Dumbbell Bench Press,Chest,60.0,6,,,
2015-01-07,Incline Dumbbell Bench Press,Chest,35.0,5,,,
2015-01-07,Incline Dumbbell Bench Press,Chest,45.0,5,,,
2015-01-07,Incline Dumbbell Bench Press,Chest,55.0,5,,,
2015-01-07,Incline Dumbbell Bench Press,Chest,55.0,5,,,
2015-01-07,Incline Dumbbell Bench Press,Chest,0.0,5,,,
2015-01-07,Barbell Curl,Biceps,45.0,5,,,
2015-01-07,Barbell Curl,Biceps,55.0,5,,,
2015-01-07,Barbell Curl,Biceps,65.0,5,,,
2015-01-07,Barbell Curl,Biceps,65.0,3,,,
2015-01-07,Barbell Curl,Biceps,0.0,5,,,
2015-01-07,Dumbbell Hammer Curl,Biceps,50.0,5,,,
2015-01-07,Dumbbell Hammer Curl,Biceps,55.0,5,,,
2015-01-07,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-01-07,Dumbbell Hammer Curl,Biceps,65.0,5,,,
2015-01-07,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-01-09,Barbell Squat,Legs,0.0,5,,,
2015-01-09,Barbell Squat,Legs,50.0,5,,,
2015-01-09,Barbell Squat,Legs,90.0,5,,,
2015-01-09,Barbell Squat,Legs,95.0,5,,,
2015-01-09,Barbell Squat,Legs,110.0,4,,,
2015-01-09,Barbell Squat,Legs,110.0,4,,,
2015-01-09,Barbell Squat,Legs,120.0,2,,,
2015-01-09,Dumbbell Lunge,Legs,60.0,5,,,
2015-01-09,Dumbbell Lunge,Legs,70.0,5,,,
2015-01-09,Dumbbell Lunge,Legs,80.0,5,,,
2015-01-09,Dumbbell Lunge,Legs,100.0,2,,,
2015-01-09,Dumbbell Lunge,Legs,80.0,5,,,
2015-01-09,EZ-Bar Skullcrusher,Triceps,25.0,5,,,
2015-01-09,EZ-Bar Skullcrusher,Triceps,45.0,5,,,
2015-01-09,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-01-09,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-01-09,EZ-Bar Skullcrusher,Triceps,0.0,5,,,
2015-01-09,Rope Push Down,Triceps,35.0,5,,,
2015-01-09,Rope Push Down,Triceps,50.0,5,,,
2015-01-09,Rope Push Down,Triceps,0.0,5,,,
2015-01-09,Rope Push Down,Triceps,0.0,5,,,
2015-01-09,Rope Push Down,Triceps,0.0,5,,,
2015-01-11,Hanging Leg Raise,Abs,0.0,15,,,
2015-01-11,Hanging Leg Raise,Abs,0.0,15,,,
2015-01-11,Hanging Leg Raise,Abs,0.0,15,,,
2015-01-11,Barbell Twist,Abs,50.0,15,,,
2015-01-11,Barbell Twist,Abs,60.0,15,,,
2015-01-11,Barbell Twist,Abs,70.0,15,,,
2015-01-11,Crunch,Abs,0.0,15,,,
2015-01-11,Crunch,Abs,0.0,15,,,
2015-01-11,Crunch,Abs,0.0,15,,,
2015-01-15,Flat Dumbbell Bench Press,Chest,80.0,5,,,
2015-01-15,Flat Dumbbell Bench Press,Chest,100.0,5,,,
2015-01-15,Flat Dumbbell Bench Press,Chest,110.0,6,,,
2015-01-15,Flat Dumbbell Bench Press,Chest,120.0,5,,,
2015-01-15,Flat Dumbbell Bench Press,Chest,130.0,5,,,
2015-01-15,Incline Dumbbell Bench Press,Chest,50.0,5,,,
2015-01-15,Incline Dumbbell Bench Press,Chest,90.0,5,,,
2015-01-15,Incline Dumbbell Bench Press,Chest,100.0,5,,,
2015-01-15,Incline Dumbbell Bench Press,Chest,110.0,5,,,
2015-01-15,Incline Dumbbell Bench Press,Chest,110.0,3,,,
2015-01-15,Barbell Curl,Biceps,45.0,5,,,
2015-01-15,Barbell Curl,Biceps,55.0,5,,,
2015-01-15,Barbell Curl,Biceps,65.0,5,,,
2015-01-15,Barbell Curl,Biceps,65.0,4,,,
2015-01-15,Barbell Curl,Biceps,0.0,5,,,
2015-01-15,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-01-15,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-01-15,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-01-15,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-01-16,Barbell Squat,Legs,0.0,5,,,
2015-01-16,Barbell Squat,Legs,50.0,5,,,
2015-01-16,Barbell Squat,Legs,100.0,5,,,
2015-01-16,Barbell Squat,Legs,110.0,5,,,
2015-01-16,Barbell Squat,Legs,120.0,2,,,
2015-01-16,Barbell Squat,Legs,110.0,3,,,
2015-01-16,Dumbbell Lunge,Legs,60.0,5,,,
2015-01-16,Dumbbell Lunge,Legs,70.0,5,,,
2015-01-16,Dumbbell Lunge,Legs,80.0,5,,,
2015-01-16,Dumbbell Lunge,Legs,100.0,5,,,
2015-01-16,Rope Push Down,Triceps,30.0,5,,,
2015-01-16,Rope Push Down,Triceps,50.0,5,,,
2015-01-16,Rope Push Down,Triceps,57.5,5,,,
2015-01-16,Rope Push Down,Triceps,57.5,6,,,
2015-01-16,Rope Push Down,Triceps,65.0,5,,,
2015-01-16,EZ-Bar Skullcrusher,Triceps,35.0,5,,,
2015-01-16,EZ-Bar Skullcrusher,Triceps,45.0,5,,,
2015-01-16,EZ-Bar Skullcrusher,Triceps,55.0,5,,,
2015-01-16,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-01-16,EZ-Bar Skullcrusher,Triceps,0.0,5,,,
2015-01-16,Parallel Bar Triceps Dip,Triceps,0.0,8,,,
2015-01-16,Parallel Bar Triceps Dip,Triceps,0.0,8,,,
2015-01-16,Parallel Bar Triceps Dip,Triceps,0.0,8,,,
2015-01-16,Parallel Bar Triceps Dip,Triceps,0.0,8,,,
2015-01-16,Parallel Bar Triceps Dip,Triceps,0.0,8,,,
2015-01-18,Hanging Leg Raise,Abs,0.0,15,,,
2015-01-18,Hanging Leg Raise,Abs,0.0,15,,,
2015-01-18,Hanging Leg Raise,Abs,0.0,15,,,
2015-01-18,Decline Crunch,Abs,0.0,15,,,
2015-01-18,Decline Crunch,Abs,0.0,15,,,
2015-01-18,Decline Crunch,Abs,0.0,15,,,
2015-01-18,Crunch,Abs,0.0,15,,,
2015-01-18,Crunch,Abs,0.0,15,,,
2015-01-18,Crunch,Abs,0.0,15,,,
2015-01-18,Barbell Twist,Abs,60.0,15,,,
2015-01-18,Barbell Twist,Abs,70.0,15,,,
2015-01-18,Barbell Twist,Abs,80.0,11,,,
2015-01-18,Barbell Twist,Abs,80.0,15,,,
2015-01-18,Overhead Press,Shoulders,0.0,5,,,
2015-01-18,Overhead Press,Shoulders,20.0,5,,,
2015-01-18,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,15,,,
2015-01-18,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,15,,,
2015-01-18,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,15,,,
2015-01-18,Dumbbell Shrug,Shoulders,50.0,8,,,
2015-01-18,Dumbbell Shrug,Shoulders,60.0,8,,,
2015-01-18,Dumbbell Shrug,Shoulders,0.0,8,,,
2015-01-18,Dumbbell Shrug,Shoulders,0.0,8,,,
2015-01-18,Dumbbell Shrug,Shoulders,0.0,8,,,
2015-01-19,Deadlift,Back,90.0,5,,,
2015-01-19,Deadlift,Back,140.0,5,,,
2015-01-19,Deadlift,Back,190.0,3,,,
2015-01-19,Deadlift,Back,180.0,4,,,
2015-01-19,Deadlift,Back,180.0,5,,,
2015-01-19,Deadlift,Back,180.0,5,,,
2015-01-19,Deadlift,Back,140.0,5,,,
2015-01-19,Barbell Row,Back,0.0,5,,,
2015-01-19,Barbell Row,Back,50.0,5,,,
2015-01-19,Barbell Row,Back,70.0,5,,,
2015-01-19,Barbell Row,Back,90.0,7,,,
2015-01-19,Barbell Row,Back,100.0,5,,,
2015-01-19,Barbell Row,Back,100.0,5,,,
2015-01-19,Barbell Row,Back,100.0,5,,,
2015-01-19,Pull Up,Back,0.0,7,,,
2015-01-19,Pull Up,Back,0.0,6,,,
2015-01-19,Pull Up,Back,0.0,5,,,
2015-01-21,Flat Barbell Bench Press,Chest,0.0,5,,,
2015-01-21,Flat Barbell Bench Press,Chest,50.0,5,,,
2015-01-21,Flat Barbell Bench Press,Chest,70.0,5,,,
2015-01-21,Flat Barbell Bench Press,Chest,90.0,5,,,
2015-01-21,Flat Barbell Bench Press,Chest,90.0,3,,,
2015-01-21,Flat Barbell Bench Press,Chest,70.0,5,,,
2015-01-21,Flat Barbell Bench Press,Chest,70.0,5,,,
2015-01-21,Incline Dumbbell Bench Press,Chest,50.0,5,,,
2015-01-21,Incline Dumbbell Bench Press,Chest,60.0,5,,,
2015-01-21,Incline Dumbbell Bench Press,Chest,60.0,5,,,
2015-01-21,Incline Dumbbell Bench Press,Chest,70.0,5,,,
2015-01-21,Incline Dumbbell Bench Press,Chest,80.0,5,,,
2015-01-21,Incline Dumbbell Bench Press,Chest,90.0,7,,,
2015-01-21,Incline Dumbbell Bench Press,Chest,100.0,7,,,
2015-01-21,Barbell Curl,Biceps,45.0,6,,,
2015-01-21,Barbell Curl,Biceps,55.0,5,,,
2015-01-21,Barbell Curl,Biceps,65.0,5,,,
2015-01-21,Barbell Curl,Biceps,65.0,5,,,
2015-01-21,Barbell Curl,Biceps,0.0,5,,,
2015-01-21,Dumbbell Hammer Curl,Biceps,50.0,5,,,
2015-01-21,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-01-21,Dumbbell Hammer Curl,Biceps,65.0,5,,,
2015-01-21,Dumbbell Hammer Curl,Biceps,65.0,5,,,
2015-01-23,Barbell Squat,Legs,0.0,5,,,
2015-01-23,Barbell Squat,Legs,50.0,5,,,
2015-01-23,Barbell Squat,Legs,90.0,5,,,
2015-01-23,Barbell Squat,Legs,110.0,5,,,
2015-01-23,Barbell Squat,Legs,120.0,2,,,
2015-01-23,Barbell Squat,Legs,120.0,3,,,
2015-01-23,Barbell Squat,Legs,125.0,1,,,
2015-01-23,Barbell Squat,Legs,90.0,5,,,
2015-01-23,Dumbbell Lunge,Legs,70.0,5,,,
2015-01-23,Dumbbell Lunge,Legs,80.0,4,,,
2015-01-23,Dumbbell Lunge,Legs,80.0,5,,,
2015-01-23,Dumbbell Lunge,Legs,100.0,3,,,
2015-01-23,Rope Push Down,Triceps,30.0,5,,,
2015-01-23,Rope Push Down,Triceps,50.0,5,,,
2015-01-23,Rope Push Down,Triceps,57.5,5,,,
2015-01-23,Rope Push Down,Triceps,57.5,5,,,
2015-01-23,Rope Push Down,Triceps,65.0,4,,,
2015-01-23,EZ-Bar Skullcrusher,Triceps,35.0,5,,,
2015-01-23,EZ-Bar Skullcrusher,Triceps,55.0,5,,,
2015-01-23,EZ-Bar Skullcrusher,Triceps,55.0,5,,,
2015-01-23,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-01-23,EZ-Bar Skullcrusher,Triceps,0.0,5,,,
2015-01-26,Deadlift,Back,90.0,5,,,
2015-01-26,Deadlift,Back,140.0,5,,,
2015-01-26,Deadlift,Back,190.0,5,,,
2015-01-26,Deadlift,Back,200.0,3,,,
2015-01-26,Deadlift,Back,200.0,2,,,
2015-01-26,Deadlift,Back,140.0,5,,,
2015-01-26,Barbell Row,Back,0.0,9,,,
2015-01-26,Barbell Row,Back,50.0,7,,,
2015-01-26,Barbell Row,Back,90.0,6,,,
2015-01-26,Barbell Row,Back,110.0,5,,,
2015-01-26,Barbell Row,Back,100.0,5,,,
2015-01-26,Barbell Row,Back,90.0,9,,,
2015-01-26,Pull Up,Back,0.0,6,,,
2015-01-26,Pull Up,Back,0.0,6,,,
2015-01-26,Pull Up,Back,0.0,6,,,
2015-01-28,Flat Dumbbell Bench Press,Chest,0.0,5,,,
2015-01-28,Flat Dumbbell Bench Press,Chest,80.0,5,,,
2015-01-28,Flat Dumbbell Bench Press,Chest,100.0,5,,,
2015-01-28,Flat Dumbbell Bench Press,Chest,110.0,5,,,
2015-01-28,Flat Dumbbell Bench Press,Chest,120.0,5,,,
2015-01-28,Seated Machine Fly,Chest,20.0,8,,,
2015-01-28,Seated Machine Fly,Chest,30.0,8,,,
2015-01-28,Seated Machine Fly,Chest,35.0,8,,,
2015-01-28,Seated Machine Fly,Chest,40.0,8,,,
2015-01-28,Seated Machine Fly,Chest,45.0,8,,,
2015-01-28,Barbell Curl,Biceps,30.0,5,,,
2015-01-28,Barbell Curl,Biceps,40.0,5,,,
2015-01-28,Barbell Curl,Biceps,50.0,5,,,
2015-01-28,Barbell Curl,Biceps,60.0,5,,,
2015-01-28,Barbell Curl,Biceps,0.0,5,,,
2015-01-28,Barbell Curl,Biceps,70.0,3,,,
2015-01-28,Dumbbell Hammer Curl,Biceps,45.0,5,,,
2015-01-28,Dumbbell Hammer Curl,Biceps,50.0,5,,,
2015-01-28,Dumbbell Hammer Curl,Biceps,55.0,5,,,
2015-01-28,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-01-28,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-01-28,Dumbbell Hammer Curl,Biceps,65.0,5,,,
2015-01-30,Barbell Squat,Legs,50.0,5,,,
2015-01-30,Barbell Squat,Legs,90.0,5,,,
2015-01-30,Barbell Squat,Legs,110.0,5,,,
2015-01-30,Barbell Squat,Legs,130.0,4,,,
2015-01-30,Barbell Squat,Legs,140.0,4,,,
2015-01-30,Barbell Squat,Legs,140.0,3,,,
2015-01-30,Barbell Squat,Legs,90.0,5,,,
2015-01-30,Dumbbell Lunge,Legs,60.0,5,,,
2015-01-30,Dumbbell Lunge,Legs,70.0,5,,,
2015-01-30,Dumbbell Lunge,Legs,80.0,5,,,
2015-01-30,Dumbbell Lunge,Legs,90.0,5,,,
2015-01-30,Standing Calf Raise Machine,Legs,15.0,8,,,
2015-01-30,Standing Calf Raise Machine,Legs,35.0,8,,,
2015-01-30,Standing Calf Raise Machine,Legs,55.0,8,,,
2015-01-30,Standing Calf Raise Machine,Legs,75.0,10,,,
2015-01-30,Standing Calf Raise Machine,Legs,95.0,10,,,
2015-01-30,Rope Push Down,Triceps,30.0,8,,,
2015-01-30,Rope Push Down,Triceps,42.5,5,,,
2015-01-30,Rope Push Down,Triceps,50.0,8,,,
2015-01-30,Rope Push Down,Triceps,57.5,8,,,
2015-01-30,Rope Push Down,Triceps,65.0,5,,,
2015-01-30,EZ-Bar Skullcrusher,Triceps,35.0,7,,,
2015-01-30,EZ-Bar Skullcrusher,Triceps,45.0,7,,,
2015-01-30,EZ-Bar Skullcrusher,Triceps,55.0,5,,,
2015-01-30,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-01-30,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-01-30,Parallel Bar Triceps Dip,Triceps,0.0,7,,,
2015-01-30,Parallel Bar Triceps Dip,Triceps,0.0,7,,,
2015-01-30,Parallel Bar Triceps Dip,Triceps,0.0,7,,,
2015-01-30,Parallel Bar Triceps Dip,Triceps,0.0,7,,,
2015-01-30,Parallel Bar Triceps Dip,Triceps,0.0,5,,,
2015-02-01,Hanging Leg Raise,Abs,0.0,15,,,
2015-02-01,Hanging Leg Raise,Abs,0.0,15,,,
2015-02-01,Hanging Leg Raise,Abs,0.0,15,,,
2015-02-01,Decline Crunch,Abs,0.0,15,,,
2015-02-01,Decline Crunch,Abs,0.0,15,,,
2015-02-01,Decline Crunch,Abs,0.0,15,,,
2015-02-01,Barbell Twist,Abs,60.0,17,,,
2015-02-01,Barbell Twist,Abs,70.0,20,,,
2015-02-01,Barbell Twist,Abs,90.0,15,,,
2015-02-01,Barbell Twist,Abs,70.0,15,,,
2015-02-01,Crunch,Abs,0.0,15,,,
2015-02-01,Crunch,Abs,0.0,15,,,
2015-02-01,Crunch,Abs,0.0,15,,,
2015-02-01,Overhead Press,Shoulders,0.0,5,,,
2015-02-01,Overhead Press,Shoulders,20.0,5,,,
2015-02-01,Overhead Press,Shoulders,40.0,5,,,
2015-02-01,Overhead Press,Shoulders,40.0,5,,,
2015-02-01,Overhead Press,Shoulders,40.0,5,,,
2015-02-01,Overhead Press,Shoulders,20.0,5,,,
2015-02-01,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,12,,,
2015-02-01,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,12,,,
2015-02-01,Extended Arm Raise + 90 Degree Arm Raise,Shoulders,10.0,12,,,
2015-02-01,Dumbbell Shrug,Shoulders,50.0,5,,,
2015-02-01,Dumbbell Shrug,Shoulders,60.0,8,,,
2015-02-01,Dumbbell Shrug,Shoulders,70.0,8,,,
2015-02-01,Dumbbell Shrug,Shoulders,75.0,8,,,
2015-02-01,Dumbbell Shrug,Shoulders,80.0,8,,,
2015-02-02,Deadlift,Back,90.0,5,,,
2015-02-02,Deadlift,Back,140.0,5,,,
2015-02-02,Deadlift,Back,190.0,5,,,
2015-02-02,Deadlift,Back,200.0,5,,,
2015-02-02,Deadlift,Back,180.0,5,,,
2015-02-02,Deadlift,Back,215.0,2,,,
2015-02-02,Barbell Row,Back,0.0,5,,,
2015-02-02,Barbell Row,Back,50.0,5,,,
2015-02-02,Barbell Row,Back,80.0,6,,,
2015-02-02,Barbell Row,Back,80.0,6,,,
2015-02-02,Pull Up,Back,0.0,6,,,
2015-02-02,Pull Up,Back,0.0,6,,,
2015-02-02,Pull Up,Back,0.0,6,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,60.0,9,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,80.0,10,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,100.0,7,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,110.0,6,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,120.0,6,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,130.0,5,,,
2015-02-04,Flat Dumbbell Bench Press,Chest,130.0,3,,,
2015-02-04,Incline Dumbbell Bench Press,Chest,50.0,5,,,
2015-02-04,Incline Dumbbell Bench Press,Chest,60.0,5,,,
2015-02-04,Incline Dumbbell Bench Press,Chest,70.0,5,,,
2015-02-04,Incline Dumbbell Bench Press,Chest,80.0,8,,,
2015-02-04,Incline Dumbbell Bench Press,Chest,90.0,5,,,
2015-02-04,Seated Machine Fly,Chest,40.0,8,,,
2015-02-04,Seated Machine Fly,Chest,45.0,5,,,
2015-02-04,Seated Machine Fly,Chest,50.0,5,,,
2015-02-04,Seated Machine Fly,Chest,60.0,5,,,
2015-02-04,Seated Machine Fly,Chest,60.0,4,,,
2015-02-04,Barbell Curl,Biceps,30.0,10,,,
2015-02-04,Barbell Curl,Biceps,40.0,6,,,
2015-02-04,Barbell Curl,Biceps,50.0,5,,,
2015-02-04,Barbell Curl,Biceps,60.0,5,,,
2015-02-04,Barbell Curl,Biceps,70.0,2,,,
2015-02-04,Dumbbell Hammer Curl,Biceps,45.0,5,,,
2015-02-04,Dumbbell Hammer Curl,Biceps,50.0,5,,,
2015-02-04,Dumbbell Hammer Curl,Biceps,55.0,5,,,
2015-02-04,Dumbbell Hammer Curl,Biceps,60.0,5,,,
2015-02-04,Dumbbell Hammer Curl,Biceps,65.0,4,,,
2015-02-08,Barbell Squat,Legs,50.0,5,,,
2015-02-08,Barbell Squat,Legs,70.0,5,,,
2015-02-08,Barbell Squat,Legs,90.0,5,,,
2015-02-08,Barbell Squat,Legs,110.0,5,,,
2015-02-08,Barbell Squat,Legs,130.0,3,,,
2015-02-08,Dumbbell Lunge,Legs,60.0,5,,,
2015-02-08,Dumbbell Lunge,Legs,70.0,5,,,
2015-02-08,Dumbbell Lunge,Legs,80.0,5,,,
2015-02-08,Dumbbell Lunge,Legs,90.0,5,,,
2015-02-08,Rope Push Down,Triceps,35.0,6,,,
2015-02-08,Rope Push Down,Triceps,42.5,6,,,
2015-02-08,Rope Push Down,Triceps,50.0,6,,,
2015-02-08,Rope Push Down,Triceps,57.5,6,,,
2015-02-08,Rope Push Down,Triceps,65.0,6,,,
2015-02-08,EZ-Bar Skullcrusher,Triceps,35.0,5,,,
2015-02-08,EZ-Bar Skullcrusher,Triceps,45.0,7,,,
2015-02-08,EZ-Bar Skullcrusher,Triceps,55.0,8,,,
2015-02-08,EZ-Bar Skullcrusher,Triceps,65.0,5,,,
2015-02-08,EZ-Bar Skullcrusher,Triceps,75.0,5,,,
2015-02-08,Standing Calf Raise Machine,Legs,55.0,10,,,
2015-02-08,Standing Calf Raise Machine,Legs,75.0,10,,,
2015-02-08,Standing Calf Raise Machine,Legs,95.0,10,,,
2015-02-08,Standing Calf Raise Machine,Legs,115.0,10,,,
2015-02-08,Standing Calf Raise Machine,Legs,135.0,10,,,
2015-02-08,Overhead Press,Shoulders,0.0,5,,,
2015-02-08,Overhead Press,Shoulders,20.0,5,,,
2015-02-08,Overhead Press,Shoulders,40.0,5,,,
2015-02-08,Overhead Press,Shoulders,50.0,3,,,
